,mol1,mol2,dmc_type,dmc_Jas,tau,ene,err,units,TotTimeSim[au],Pop,Pop-err,Var[au],tau_eff[au],corr-time[au],machine,N_MPI,cost,target_weight,ID,tau[au]
37,Water,MeOH,DMCdla5,Jopt,0.03,-25909.1954235607,0.029624685459043,kcal/mol,1215.0,63974.26716626002,0.707864257361265,0.653365365968408,0.0290417404905816,0.23361048762693584,linuxpc-intel-slurm-parallel.peta4,96.0,0.6342252599999999,64000.0,2,0.03
38,Water,MeOH,DMCdla5,Jopt,0.02,-25908.891123636,0.0323476990970867,kcal/mol,1010.0,63988.03498,0.6504552259518037,0.6619533945018343,0.01961479928891152,0.2319173550167738,linuxpc-intel-slurm-parallel.peta4-icelake-zen,304.0,0.163811236,64000.0,2,0.02
39,Water,MeOH,DMCdla5,Jopt,0.05,-25910.2190507032,0.0287638163554479,kcal/mol,1275.0,63961.78754940711,0.8666436576398541,0.6501160675727637,0.04706351743464791,0.23798936764239675,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.29786584400000005,64000.0,2,0.05
40,Water,MeOH,DMCdla5,Jopt,0.16,-25919.7586115505,0.0372758411675091,kcal/mol,1136.0,63765.48983942021,1.674120977615926,0.624394754219027,0.1277528756782076,0.3780421610934743,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.2935260571428571,64000.0,2,0.16
41,Water,MeOH,DMCdla5,Jopt,0.10,-25914.0704610886,0.034616575203035,kcal/mol,1050.0,63881.76298076923,1.4059129125747,0.6606801800818509,0.08738207362759189,0.30413716536767205,linuxpc-intel-slurm-parallel.peta4-knl,192.0,2.83107826,64000.0,2,0.1
42,Water,MeNH2,DMCdla5,Jopt,0.08,-22480.2340931817,0.0276915275127942,kcal/mol,1208.0,63947.631519198665,1.0972192205920168,0.5177663603014617,0.07310462356825517,0.2987208135615868,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.30412466666666665,64000.0,3,0.08
43,Water,MeNH2,DMCdla5,Jopt,0.06,-22479.0677044483,0.0277187891200698,kcal/mol,1230.0,63955.65961737077,0.9254150170950477,0.5121676444229089,0.05626902751940485,0.27722371229313525,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.588829875,64000.0,3,0.06
44,Water,MeNH2,DMCdla5,Jopt,0.01,-22477.7858848771,0.0317882268325493,kcal/mol,1005.0,63979.799477386936,0.437795101704613,0.5459174978371238,0.009935069692153263,0.26456243239259897,linuxpc-intel-slurm-parallel.peta4-knl,640.0,1.0095328566666666,64000.0,3,0.01
45,Water,MeNH2,DMCdla5,Jopt,0.13,-22483.6149127926,0.0271347013562902,kcal/mol,1313.0,63881.09817419934,1.3046115326635488,0.503812806820425,0.11115964590537014,0.3467666734679315,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.30252543,64000.0,3,0.13
46,Water,MeNH2,DMCdla5,Jopt,0.25,-22492.7531543404,0.0361431006755908,kcal/mol,1275.0,63720.39822134387,1.9358759938085968,0.502035829840017,0.18235870250140135,0.5091347968550924,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.30301124,64000.0,3,0.25
47,Water,MeNH2,DMCdla5,Jopt,0.003,-22477.9773075846,0.0294435910471048,kcal/mol,1201.5,64001.20395753917,0.22134217059342567,0.5454182606769078,0.0029962185831175314,0.2872865520243189,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.5877828999999999,64000.0,3,0.003
48,Water,MeNH2,DMCdla5,Jopt,0.2,-22488.7557676069,0.0351351419623363,kcal/mol,1100.0,63795.68293577982,1.8735332308872332,0.49581047674904793,0.15578907388052862,0.4602668064073931,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.30085062,64000.0,3,0.2
49,Water,MeNH2,DMCdla5,Jopt,0.3,-22496.5717869825,0.0344170791553166,kcal/mol,1650.0,63681.4776802049,2.068065425493413,0.5019248449265883,0.20513909127081065,0.5989626305708261,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.29931125999999997,64000.0,3,0.3
50,Water,MeNH2,DMCdla5,Jopt,0.04,-22478.2752353694,0.0284403055142854,kcal/mol,1220.0,63982.87672727273,0.785940991393374,0.5300017737331715,0.0384613554988921,0.275277833573278,linuxpc-intel-slurm-parallel.peta4-icelake-zen,304.0,0.16413607,64000.0,3,0.04
51,Water,MeNH2,DMCdla5,Jopt,0.03,-22478.0099117232,0.028734616661334,kcal/mol,1215.0,63980.52920380421,0.6814149300549902,0.536714498632591,0.02918975901899821,0.2796310041931555,linuxpc-intel-slurm-parallel.peta4-knl,192.0,2.9179432224999995,64000.0,3,0.03
52,Water,MeNH2,DMCdla5,Jopt,0.02,-22477.8630379455,0.0283946400450203,kcal/mol,1010.0,63985.3191,0.6049885388389131,0.5130023204278505,0.019676941558504298,0.22479985825274437,linuxpc-intel-slurm-parallel.peta4-icelake-zen,304.0,0.16737167999999997,64000.0,3,0.02
53,Water,MeNH2,DMCdla5,Jopt,0.05,-22478.7270148187,0.0309618123838246,kcal/mol,1275.0,63969.548063241105,0.8397769146479152,0.5268005620240912,0.04748794415753425,0.27941434784698277,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.302061316,64000.0,3,0.05
54,Water,MeNH2,DMCdla5,Jopt,0.16,-22485.7847102115,0.0317670171212936,kcal/mol,1136.0,63828.162995594714,1.5556904503273379,0.5093770923792985,0.13143620116186056,0.393443590670632,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.3015641,64000.0,3,0.16
55,Water,MeNH2,DMCdla5,Jopt,0.10,-22481.4963861055,0.0315802799555201,kcal/mol,1050.0,63920.24528846154,1.2754288245949192,0.5143230891700964,0.08899848861750823,0.3223116847378999,linuxpc-intel-slurm-parallel.peta4-knl,192.0,2.92370069,64000.0,3,0.1
56,Water,Peptide,DMCdla5,Jopt,0.08,-40416.0218098286,0.0384219129662044,kcal/mol,1208.0,63910.34257095159,1.344011526429755,1.0239108692121575,0.0728237328345262,0.33031875935678623,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.6651258066666668,64000.0,4,0.08
57,Water,Peptide,DMCdla5,Jopt,0.06,-40413.9508552524,0.0407914170708217,kcal/mol,1230.0,63935.880489844094,1.2013827884960238,1.0290612007177562,0.05611149507322996,0.32347572989870754,linuxpc-intel-slurm-parallel.peta4-icelake-zen,152.0,0.73864185,64000.0,4,0.06
58,Water,Peptide,DMCdla5,Jopt,0.01,-40411.6943865463,0.0474517622858354,kcal/mol,1005.0,63995.11324623116,0.5306221598113237,1.0462885063591831,0.009931896268905668,0.2634975496682838,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,1.3271103754385964,64000.0,4,0.01
59,Water,Peptide,DMCdla5,Jopt,0.13,-40422.1094608884,0.0425296499442049,kcal/mol,1313.0,63823.94532575077,1.6614892454399328,1.007831869191713,0.11045128581067548,0.3620303989469754,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.6673266999999999,64000.0,4,0.13
60,Water,Peptide,DMCdla5,Jopt,0.25,-40438.3436908344,0.0498033700924871,kcal/mol,1275.0,63620.11403162056,2.2391692051222747,1.0168517137825932,0.180201053645931,0.5586069944067303,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.6664263599999999,64000.0,4,0.25
61,Water,Peptide,DMCdla5,Jopt,0.003,-40412.0694571423,0.0387318907883256,kcal/mol,1201.5,63989.29553385738,0.277122037000364,1.0411516937402168,0.0029960247633427388,0.2642612309621039,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,1.336964192156863,64000.0,4,0.003
62,Water,Peptide,DMCdla5,Jopt,0.2,-40431.4704698845,0.0584844092614317,kcal/mol,1100.0,63716.96972477064,2.301573264154797,1.0331452190791126,0.15428334208987582,0.4986146942571221,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.66182854,64000.0,4,0.2
63,Water,Peptide,DMCdla5,Jopt,0.3,-40445.330176479,0.0496527155392869,kcal/mol,1650.0,63562.95956824003,2.6491920635785604,1.0542171566258887,0.20229172289480768,0.6260805558920652,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.6601378999999999,64000.0,4,0.3
64,Water,Peptide,DMCdla5,Jopt,0.04,-40412.4637765088,0.0395976690250451,kcal/mol,1220.0,63955.81028099173,0.9967070209039287,1.0376794437723569,0.03839364854865492,0.2796915054304983,linuxpc-intel-slurm-parallel.peta4-icelake-zen,304.0,0.3788197233333334,64000.0,4,0.04
65,Water,Peptide,DMCdla5,Jopt,0.03,-40411.9266344712,0.0393569462729257,kcal/mol,1215.0,63967.3556739531,0.8613888797651619,1.039209079595704,0.029153131078333776,0.29656637373986106,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.6853997000000001,64000.0,4,0.03
66,Water,Peptide,DMCdla5,Jopt,0.02,-40411.7385928347,0.0473089214039418,kcal/mol,1010.0,63979.17846,0.7851913048093888,1.0674995058413925,0.019661859002446328,0.2808293053120285,linuxpc-intel-slurm-parallel.peta4-icelake-zen,304.0,0.37769828599999994,64000.0,4,0.02
67,Water,Peptide,DMCdla5,Jopt,0.05,-40413.0968164439,0.0396738995447971,kcal/mol,1275.0,63959.19719367589,1.0673218971093876,1.027188758311134,0.04737959285256319,0.3170622237082856,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.6672777839999998,64000.0,4,0.05
68,Water,Peptide,DMCdla5,Jopt,0.16,-40425.9714273563,0.0475236417278644,kcal/mol,1136.0,63780.91942589171,1.9645986977313084,1.045103511965438,0.13040855813608956,0.45257622940529274,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.6690000714285714,64000.0,4,0.16
69,Water,Peptide,DMCdla5,Jopt,0.10,-40418.2575167209,0.0453676074377304,kcal/mol,1050.0,63894.54134615385,1.6511126236233036,1.0164135287037428,0.0885650742155914,0.34247099876460585,linuxpc-intel-slurm-parallel.peta4-knl,192.0,5.62722754,64000.0,4,0.1
70,MeOH,MeOH,DMCdla5,Jopt,0.08,-30217.0067819945,0.0361129875471891,kcal/mol,1208.0,63902.555592654426,1.2133322170012497,0.7584894487210603,0.07269951208581446,0.28978718354024774,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.39442421333333333,64000.0,5,0.08
71,MeOH,MeOH,DMCdla5,Jopt,0.06,-30215.3836529814,0.0325625649031809,kcal/mol,1230.0,63937.15324841391,1.0800173397658517,0.7838349299414596,0.05603656509329119,0.27883501208961026,linuxpc-intel-slurm-parallel.peta4-icelake-zen,152.0,0.4349049099999999,64000.0,5,0.06
72,MeOH,MeOH,DMCdla5,Jopt,0.01,-30213.4383163729,0.034405593730381,kcal/mol,1005.0,63986.96126633166,0.4815950099462242,0.798651403918781,0.009929956548459441,0.25737740924249475,linuxpc-intel-slurm-parallel.peta4,128.0,0.6451858399999999,64000.0,5,0.01
73,MeOH,MeOH,DMCdla5,Jopt,0.13,-30222.0719194408,0.0376048008110353,kcal/mol,1313.0,63810.681432704776,1.475302867712501,0.7549413463310936,0.1101832301365748,0.3512397688065668,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.39344544000000004,64000.0,5,0.13
74,MeOH,MeOH,DMCdla5,Jopt,0.25,-30235.6183915593,0.0468324287542688,kcal/mol,1275.0,63609.180039525694,2.0928472848594777,0.7514678390216131,0.17962067062203405,0.5131308267816432,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.39320678,64000.0,5,0.25
75,MeOH,MeOH,DMCdla5,Jopt,0.003,-30213.5060558392,0.0259094540515646,kcal/mol,2101.5,63992.49641261909,0.18600326358552888,0.8008976618551913,0.002995901173505324,0.26136587131300165,linuxpc-intel-slurm-parallel.peta4-icelake,76.0,0.7628983250000001,64000.0,5,0.003
76,MeOH,MeOH,DMCdla5,Jopt,0.2,-30229.9426020048,0.0457775734684106,kcal/mol,1100.0,63721.54788990826,2.142978287594869,0.7642370194622431,0.153816322639276,0.45636931752658105,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.40142882,64000.0,5,0.2
77,MeOH,MeOH,DMCdla5,Jopt,0.3,-30241.3698472548,0.0374367705753689,kcal/mol,1650.0,63566.16062934504,2.429219105042101,0.7344304156494026,0.2016373755449553,0.611276200881056,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.39853152000000003,64000.0,5,0.3
78,MeOH,MeOH,DMCdla5,Jopt,0.04,-30214.0799673661,0.032652557602488,kcal/mol,1220.0,63962.46082644628,0.8525580043729959,0.7705923463268104,0.0383585760167336,0.29175549973318016,linuxpc-intel-slurm-parallel.peta4-icelake-zen,304.0,0.22489873999999996,64000.0,5,0.04
79,MeOH,MeOH,DMCdla5,Jopt,0.03,-30213.631050099,0.035868583045351,kcal/mol,1215.0,63980.97087088582,0.7766144207147351,0.7823015861268011,0.029133174674672732,0.28234771816500226,linuxpc-intel-slurm-parallel.peta4,96.0,0.8510825325,64000.0,5,0.03
80,MeOH,MeOH,DMCdla5,Jopt,0.02,-30213.3453798819,0.0355345944738182,kcal/mol,1010.0,63976.10074,0.7032117601154291,0.7943674737794576,0.01965311943833747,0.2595666603567556,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.699360212,64000.0,5,0.02
81,MeOH,MeOH,DMCdla5,Jopt,0.05,-30214.7151725648,0.0342637352558526,kcal/mol,1275.0,63945.01059288537,0.9462275758855894,0.7690398637059994,0.047326105745255545,0.2814270562819315,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.39296195999999994,64000.0,5,0.05
82,MeOH,MeOH,DMCdla5,Jopt,0.16,-30225.3727079121,0.036423670092483,kcal/mol,1136.0,63764.83643598124,1.809318596476439,0.7448730249961171,0.13005048489709553,0.3671434463183982,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.39643931428571433,64000.0,5,0.16
83,MeOH,MeOH,DMCdla5,Jopt,0.10,-30218.9562603099,0.0429490101295952,kcal/mol,1050.0,63879.38711538461,1.449594959940271,0.7535644003204577,0.0883848435318576,0.31135679016172624,linuxpc-intel-slurm-parallel.peta4,96.0,0.84761232,64000.0,5,0.1
84,MeOH,MeOH,DMCdla5,Jopt,0.006,-30213.3174170097,0.0339138094979289,kcal/mol,1203.0,63983.433273148825,0.3497198646840804,0.7911807036198177,0.005978858361922098,0.26497955633044923,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.7730277921568627,64000.0,5,0.006
85,MeOH,MeNH2,DMCdla5,Jopt,0.08,-26784.853665639,0.0342983141440407,kcal/mol,1208.0,63932.65669449082,1.150612462881111,0.6385642682646677,0.07354041267155151,0.3210561477986061,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.4071581533333334,64000.0,6,0.08
86,MeOH,MeNH2,DMCdla5,Jopt,0.06,-26783.697833745,0.0352928313391714,kcal/mol,1230.0,63964.0023115133,0.9829041006408367,0.6380451375118782,0.05651847369149429,0.3099679895495392,linuxpc-intel-slurm-parallel.peta4-icelake-zen,152.0,0.4433934300000001,64000.0,6,0.06
87,MeOH,MeNH2,DMCdla5,Jopt,0.01,-26782.6448492137,0.0335921882477383,kcal/mol,1005.0,63986.865095477384,0.4767400626236471,0.6362726419944866,0.009940497542445486,0.27065053767188213,linuxpc-intel-slurm-parallel.peta4,128.0,0.668981699,64000.0,6,0.01
88,MeOH,MeNH2,DMCdla5,Jopt,0.13,-26788.3965038469,0.0345779425494454,kcal/mol,1313.0,63870.20273371246,1.4244204339896396,0.6386632775787692,0.11221861263286435,0.4102052420057591,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.40578626,64000.0,6,0.13
89,MeOH,MeNH2,DMCdla5,Jopt,0.25,-26798.4206701304,0.0393455264320227,kcal/mol,1275.0,63723.42055335968,1.9931460596255752,0.6399618382345283,0.18541614460820852,0.5378957593022226,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.40451423999999997,64000.0,6,0.25
90,MeOH,MeNH2,DMCdla5,Jopt,0.003,-26782.8477922932,0.0304947725598722,kcal/mol,1201.5,63996.885209207234,0.23622205721724027,0.6667902427843732,0.002996555121243041,0.30293051941200705,linuxpc-intel-slurm-parallel.peta4-icelake,76.0,0.7792669428571429,64000.0,6,0.003
91,MeOH,MeNH2,DMCdla5,Jopt,0.2,-26794.1292613605,0.0402568241356936,kcal/mol,1100.0,63793.1952293578,2.0052309881666703,0.6283677047493414,0.15796386024956688,0.48668808461762947,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.4066475,64000.0,6,0.2
92,MeOH,MeNH2,DMCdla5,Jopt,0.3,-26802.8271425217,0.0386718576032089,kcal/mol,1650.0,63679.96450786681,2.1386668409070486,0.5989773395292484,0.20910032655370805,0.6483058919511742,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.40436698,64000.0,6,0.3
