ID,name,mol1,mol2,Nel,Nelv,atoms
20,20_AcOH-AcOH,AcOH,AcOH,64,48,"{'H': 8, 'C': 4, 'N': 0, 'O': 4}"
21,21_AcNH2-AcNH2,AcNH2,AcNH2,64,48,"{'H': 10, 'C': 4, 'N': 2, 'O': 2}"
22,22_AcOH-Uracil,AcOH,Uracil,90,66,"{'H': 8, 'C': 6, 'N': 2, 'O': 4}"
23,23_AcNH2-Uracil,AcNH2,Uracil,90,66,"{'H': 9, 'C': 6, 'N': 3, 'O': 3}"
24,24_Benzene-Benzene_pi-pi,Benzene,Benzene,84,60,"{'H': 12, 'C': 12, 'N': 0, 'O': 0}"
25,25_Pyridine-Pyridine_pi-pi,Pyridine,Pyridine,84,60,"{'H': 10, 'C': 10, 'N': 2, 'O': 0}"
26,26_Uracil-Uracil_pi-pi,Uracil,Uracil,116,84,"{'H': 8, 'C': 8, 'N': 4, 'O': 4}"
27,27_Benzene-Pyridine_pi-pi,Benzene,Pyridine,84,60,"{'H': 11, 'C': 11, 'N': 1, 'O': 0}"
28,28_Benzene-Uracil_pi-pi,Benzene,Uracil,100,72,"{'H': 10, 'C': 10, 'N': 2, 'O': 2}"
29,29_Pyridine-Uracil_pi-pi,Pyridine,Uracil,100,72,"{'H': 9, 'C': 9, 'N': 3, 'O': 2}"
30,30_Benzene-Ethene,Benzene,Ethene,58,42,"{'H': 10, 'C': 8, 'N': 0, 'O': 0}"
31,31_Uracil-Ethene,Uracil,Ethene,74,54,"{'H': 8, 'C': 6, 'N': 2, 'O': 2}"
32,32_Uracil-Ethyne,Uracil,Ethyne,72,52,"{'H': 6, 'C': 6, 'N': 2, 'O': 2}"
33,33_Pyridine-Ethene,Pyridine,Ethene,58,42,"{'H': 9, 'C': 7, 'N': 1, 'O': 0}"
34,34_Pentane-Pentane,Pentane,Pentane,84,64,"{'H': 24, 'C': 10, 'N': 0, 'O': 0}"
35,35_Neopentane-Pentane,Neopentane,Pentane,84,64,"{'H': 24, 'C': 10, 'N': 0, 'O': 0}"
36,36_Neopentane-Neopentane,Neopentane,Neopentane,84,64,"{'H': 24, 'C': 10, 'N': 0, 'O': 0}"
37,37_Cyclopentane-Neopentane,Cyclopentane,Neopentane,82,62,"{'H': 22, 'C': 10, 'N': 0, 'O': 0}"
38,38_Cyclopentane-Cyclopentane,Cyclopentane,Cyclopentane,80,60,"{'H': 20, 'C': 10, 'N': 0, 'O': 0}"
39,39_Benzene-Cyclopentane,Benzene,Cyclopentane,82,60,"{'H': 16, 'C': 11, 'N': 0, 'O': 0}"
40,40_Benzene-Neopentane,Benzene,Neopentane,84,62,"{'H': 18, 'C': 11, 'N': 0, 'O': 0}"
41,41_Uracil-Pentane,Uracil,Pentane,100,74,"{'H': 16, 'C': 9, 'N': 2, 'O': 2}"
42,42_Uracil-Cyclopentane,Uracil,Cyclopentane,98,72,"{'H': 14, 'C': 9, 'N': 2, 'O': 2}"
43,43_Uracil-Neopentane,Uracil,Neopentane,100,74,"{'H': 16, 'C': 9, 'N': 2, 'O': 2}"
44,44_Ethene-Pentane,Ethene,Pentane,58,44,"{'H': 16, 'C': 7, 'N': 0, 'O': 0}"
45,45_Ethyne-Pentane,Ethyne,Pentane,56,42,"{'H': 14, 'C': 7, 'N': 0, 'O': 0}"
46,46_Peptide-Pentane,Peptide,Pentane,82,62,"{'H': 19, 'C': 8, 'N': 1, 'O': 1}"
47,47_Benzene-Benzene_TS,Benzene,Benzene,84,60,"{'H': 12, 'C': 12, 'N': 0, 'O': 0}"
48,48_Pyridine-Pyridine_TS,Pyridine,Pyridine,84,60,"{'H': 10, 'C': 10, 'N': 2, 'O': 0}"
49,49_Benzene-Pyridine_TS,Benzene,Pyridine,84,60,"{'H': 11, 'C': 11, 'N': 1, 'O': 0}"
50,50_Benzene-Ethyne_CH-pi,Benzene,Ethyne,56,40,"{'H': 8, 'C': 8, 'N': 0, 'O': 0}"
51,51_Ethyne-Ethyne_TS,Ethyne,Ethyne,28,20,"{'H': 4, 'C': 4, 'N': 0, 'O': 0}"
52,52_Benzene-AcOH_OH-pi,Benzene,AcOH,74,54,"{'H': 10, 'C': 8, 'N': 0, 'O': 2}"
53,53_Benzene-AcNH2_NH-pi,Benzene,AcNH2,74,54,"{'H': 11, 'C': 8, 'N': 1, 'O': 1}"
54,54_Benzene-Water_OH-pi,Benzene,Water,52,38,"{'H': 8, 'C': 6, 'N': 0, 'O': 1}"
55,55_Benzene-MeOH_OH-pi,Benzene,MeOH,60,44,"{'H': 10, 'C': 7, 'N': 0, 'O': 1}"
56,56_Benzene-MeNH2_NH-pi,Benzene,MeNH2,60,44,"{'H': 11, 'C': 7, 'N': 1, 'O': 0}"
57,57_Benzene-Peptide_NH-pi,Benzene,Peptide,82,60,"{'H': 13, 'C': 9, 'N': 1, 'O': 1}"
58,58_Pyridine-Pyridine_CH-N,Pyridine,Pyridine,84,60,"{'H': 10, 'C': 10, 'N': 2, 'O': 0}"
59,59_Ethyne-Water_CH-O,Ethyne,Water,24,18,"{'H': 4, 'C': 2, 'N': 0, 'O': 1}"
60,60_Ethyne-AcOH_OH-pi,Ethyne,AcOH,46,34,"{'H': 6, 'C': 4, 'N': 0, 'O': 2}"
61,61_Pentane-AcOH,Pentane,AcOH,74,56,"{'H': 16, 'C': 7, 'N': 0, 'O': 2}"
62,62_Pentane-AcNH2,Pentane,AcNH2,74,56,"{'H': 17, 'C': 7, 'N': 1, 'O': 1}"
63,63_Benzene-AcOH,Benzene,AcOH,74,54,"{'H': 10, 'C': 8, 'N': 0, 'O': 2}"
64,64_Peptide-Ethene,Peptide,Ethene,56,42,"{'H': 11, 'C': 5, 'N': 1, 'O': 1}"
65,65_Pyridine-Ethyne,Pyridine,Ethyne,56,40,"{'H': 7, 'C': 7, 'N': 1, 'O': 0}"
66,66_MeNH2-Pyridine,MeNH2,Pyridine,60,44,"{'H': 10, 'C': 6, 'N': 2, 'O': 0}"
