System ID,Dimer,Dimer Error,Monomer 1,Monomer 1 Error,Monomer 2,Monomer 2 Error,Binding Energy,Binding Energy Error,Fit type
35_Neopentane-Pentane,-44698.87,0.03,-22349.99,0.04,-22346.68,0.04,-2.41,0.04,quadratic
36_Neopentane-Neopentane,-44701.46,0.04,-22349.99,0.04,-22350.0,0.04,-1.65,0.04,quadratic
37_Cyclopentane-Neopentane,-43937.96,0.04,-21586.08,0.04,-22349.99,0.05,-2.19,0.04,quadratic
38_Cyclopentane-Cyclopentane,-43174.58,0.03,-21586.07,0.04,-21586.07,0.04,-2.83,0.04,quadratic
39_Benzene-Cyclopentane,-45213.38,0.04,-23624.43,0.05,-21586.07,0.04,-3.23,0.04,quadratic
40_Benzene-Neopentane,-45976.75,0.04,-23624.43,0.05,-22349.99,0.04,-2.63,0.04,quadratic
41_Uracil-Pentane,-70659.95,0.05,-48308.89,0.03,-22346.55,0.03,-4.43,0.07,linear
42_Uracil-Cyclopentane,-69898.2,0.04,-48309.42,0.05,-21586.06,0.04,-3.53,0.04,quadratic
43_Uracil-Neopentane,-70662.3,0.05,-48308.87,0.03,-22349.87,0.03,-3.48,0.07,linear
44_Ethene-Pentane,-30958.76,0.03,-8610.44,0.03,-22346.67,0.04,-1.87,0.03,quadratic
45_Ethyne-Pentane,-30171.14,0.03,-7823.11,0.02,-22346.64,0.04,-1.62,0.03,quadratic
46_Peptide-Pentane,-51954.46,0.04,-29604.39,0.05,-22346.65,0.04,-3.84,0.04,quadratic
47_Benzene-Benzene_TS,-47251.09,0.03,-23624.43,0.05,-23624.42,0.04,-2.61,0.04,quadratic
48_Pyridine-Pyridine_TS,-51814.31,0.05,-25905.48,0.03,-25905.47,0.03,-3.45,0.07,linear
49_Benzene-Pyridine_TS,-49532.83,0.04,-23624.43,0.05,-25905.65,0.04,-3.02,0.04,quadratic
50_Benzene-Ethyne_CH-pi,-31450.14,0.03,-23624.43,0.05,-7823.1,0.02,-2.82,0.03,quadratic
51_Ethyne-Ethyne_TS,-15647.65,0.02,-7823.11,0.02,-7823.11,0.02,-1.58,0.02,quadratic
52_Benzene-AcOH_OH-pi,-52354.93,0.04,-23624.41,0.05,-28726.53,0.04,-4.66,0.04,quadratic
53_Benzene-AcNH2_NH-pi,-48919.09,0.03,-23624.39,0.05,-25290.94,0.04,-4.26,0.04,quadratic
54_Benzene-Water_OH-pi,-34426.63,0.03,-23624.43,0.05,-10799.39,0.01,-3.21,0.03,quadratic
55_Benzene-MeOH_OH-pi,-38731.8,0.03,-23624.43,0.05,-15103.83,0.03,-4.0,0.04,quadratic
56_Benzene-MeNH2_NH-pi,-35298.69,0.03,-23624.43,0.05,-11671.48,0.02,-3.04,0.03,quadratic
57_Benzene-Peptide_NH-pi,-53233.3,0.04,-23624.43,0.05,-29604.38,0.05,-5.01,0.04,quadratic
58_Pyridine-Pyridine_CH-N,-51815.06,0.04,-25905.64,0.04,-25905.64,0.04,-4.33,0.04,quadratic
59_Ethyne-Water_CH-O,-18625.29,0.02,-7823.09,0.02,-10799.44,0.01,-3.01,0.02,quadratic
60_Ethyne-AcOH_OH-pi,-36554.07,0.03,-7823.06,0.02,-28726.51,0.04,-5.06,0.03,quadratic
61_Pentane-AcOH,-51075.25,0.04,-22346.64,0.04,-28726.59,0.04,-2.6,0.04,quadratic
62_Pentane-AcNH2,-47640.3,0.04,-22346.64,0.04,-25290.99,0.04,-3.08,0.04,quadratic
63_Benzene-AcOH,-52353.94,0.04,-23624.42,0.05,-28726.56,0.04,-3.57,0.04,quadratic
64_Peptide-Ethene,-38217.14,0.03,-29604.4,0.05,-8610.42,0.03,-2.8,0.03,quadratic
65_Pyridine-Ethyne,-33732.68,0.03,-25905.66,0.04,-7823.05,0.02,-4.26,0.03,quadratic
66_MeNH2-Pyridine,-37580.7,0.03,-11671.48,0.02,-25905.66,0.04,-3.88,0.03,quadratic
