,mol,mol_id,dmc_type,dmc_Jas,tau,ene,err,units,TotTimeSim[au],Pop,Pop-err,Var[au],tau_eff[au],corr-time[au],machine,N_MPI,cost,target_weight,tau[au]
17,AcNH2,21_2,DMCdla5,Jopt,0.10,-25293.3399410654,0.0353069707621104,kcal/mol,1050.0,63913.76673076923,1.352164174897546,0.6023048422779749,0.08884727654473747,0.3620189795333484,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.03518298,64000.0,0.1
18,AcNH2,21_2,DMCdla5,Jopt,0.03,-25290.1250598241,0.026949662886286,kcal/mol,1215.0,63975.11850819101,0.7107587819296084,0.6158267771443252,0.029180578865627572,0.26248954164445265,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.0315815975,64000.0,0.03
19,AcNH2,21_2,DMCdla5,Jopt,0.01,-25290.0419227322,0.0343981277127696,kcal/mol,1005.0,63977.98084422111,0.4384543454385446,0.615857393498079,0.009934373522903921,0.2845224261918338,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.03015478409091,64000.0,0.01
20,AcNH2,23_1,DMCdla5,Jopt,0.10,-25293.3984857218,0.0384302855754612,kcal/mol,1050.0,63897.137307692305,1.3744282635850562,0.5902597626736474,0.0888431898800265,0.3342719074617573,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.06191933,64000.0,0.1
21,AcNH2,23_1,DMCdla5,Jopt,0.03,-25290.0526079678,0.0333666643724181,kcal/mol,1215.0,63974.536374047704,0.7454947391532935,0.6337253193399023,0.029180260593341573,0.2915270874768688,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.0589005750000005,64000.0,0.03
22,AcNH2,23_1,DMCdla5,Jopt,0.003,-25290.0879068701,0.0394972309272295,kcal/mol,1201.5,63985.63748659251,0.23615685478388862,0.6332110405046931,0.0029961738177196667,0.28302480306603145,linuxpc-intel-slurm-parallel.peta4-skylake-zen,160.0,0.40951110468750007,64000.0,0.003
23,AcNH2,23_1,DMCdla5,Jopt,0.01,-25289.8789211927,0.0330549260678027,kcal/mol,1005.0,63993.50700502512,0.4617764019984364,0.6200781854660723,0.009934352342136306,0.3033534753733832,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.0424537400000005,64000.0,0.01
24,AcNH2,53_2,DMCdla5,Jopt,0.10,-25294.0691219871,0.0321122664661448,kcal/mol,1050.0,63908.75615384615,1.326226335749456,0.5989167766360048,0.08884226240573087,0.32765382301423907,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.03810659,64000.0,0.1
25,AcNH2,53_2,DMCdla5,Jopt,0.03,-25290.7550025441,0.031433700243427,kcal/mol,1215.0,63974.539535925906,0.7431212771643436,0.6221419006942754,0.02918009137454283,0.27486951315857683,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.04144782,64000.0,0.03
26,AcNH2,53_2,DMCdla5,Jopt,0.01,-25290.6546511261,0.0302256331172394,kcal/mol,1005.0,63978.211969849246,0.4706838433727499,0.6171755147287203,0.009934342634594761,0.2558928777225258,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.025644031818182,64000.0,0.01
27,AcNH2,53_2,DMCdla5,Jdimer,0.01,-25290.6725728404,0.0355278052904448,kcal/mol,1005.0,63991.02102512563,0.4776374823827879,0.6439329168935328,0.009934239724261733,0.28772752722416345,linuxpc-intel-slurm-parallel.peta4,160.0,0.45989648300000024,64000.0,0.01
28,AcNH2,53_2,DMCdla5,Jdimer,0.03,-25290.7000047096,0.0320400601728917,kcal/mol,1215.0,63974.52541950904,0.7227266560802887,0.633907254874508,0.02917882989046355,0.25742362150763337,linuxpc-intel-slurm-parallel.peta4,160.0,0.46248856500000013,64000.0,0.03
29,AcNH2,53_2,DMCdla5,Jdimer,0.10,-25294.3976400425,0.0403448376130425,kcal/mol,1050.0,63919.545,1.3348824231823073,0.6143961580373273,0.08882710432685324,0.3433206043380497,linuxpc-intel-slurm-parallel.peta4,160.0,0.46454642,64000.0,0.1
30,AcNH2,62_2,DMCdla5,Jopt,0.10,-25294.0522244556,0.033961952635083,kcal/mol,1050.0,63920.95221153846,1.3462553541581204,0.5789633644151724,0.08883653915890928,0.32523544267955196,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.0415898500000003,64000.0,0.1
31,AcNH2,62_2,DMCdla5,Jopt,0.03,-25290.7149403454,0.0318953899583408,kcal/mol,1215.0,63971.46452223273,0.7213892356752831,0.6219351558599412,0.02917964244793009,0.28998340816563173,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.0339466150000005,64000.0,0.03
32,AcNH2,62_2,DMCdla5,Jopt,0.003,-25290.8281640087,0.0311765701867926,kcal/mol,1201.5,63991.36019447788,0.23660998622547877,0.6313157001915317,0.0029961711463189116,0.2922400012865928,linuxpc-intel-slurm-parallel.peta4-cclake,168.0,0.45716782321428573,64000.0,0.003
33,AcNH2,62_2,DMCdla5,Jopt,0.01,-25290.6123557754,0.0355468637360485,kcal/mol,1005.0,63994.49808040201,0.4550511535641604,0.624778833933064,0.009934303290776157,0.2906346764280907,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.0217355386363645,64000.0,0.01
34,AcOH,20_1,DMCtm5,JoptLA,0.10,-28720.0451414068,0.0337065678010749,kcal/mol,1050.0,63599.20509615385,1.5492142268943194,0.8425528556547864,0.08721128209378216,0.23426902590185839,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,1.38268968,64000.0,0.1
35,AcOH,20_1,DMCtm5,JoptLA,0.006,-28713.3454718548,0.0307753575717087,kcal/mol,1203.0,63972.50873848909,0.34325355622770115,0.7846818648567849,0.005976290820238117,0.1757405812001834,linuxpc-intel-slurm-parallel.peta4,128.0,1.1173737928571428,64000.0,0.006
36,AcOH,20_1,DMCtm5,JoptLA,0.03,-28713.5777468484,0.0324117213387438,kcal/mol,1215.0,63902.04396753473,0.7587879745967875,0.8033842944425335,0.02903160047621286,0.19833718569241582,linuxpc-intel-slurm-parallel.peta4,64.0,2.2324064175,64000.0,0.03
37,AcOH,20_1,DMCtm5,JoptLA,0.04,-28714.0550279389,0.0310882759625829,kcal/mol,1220.0,63858.4067107438,0.8476189556380769,0.8169657298214603,0.03816981463708054,0.177429825494736,linuxpc-intel-slurm-parallel.peta4,64.0,2.2315754366666662,64000.0,0.04
38,AcOH,20_1,DMCtm5,JoptLA,0.02,-28713.2698241479,0.029541376799436,kcal/mol,1010.0,63948.3396,0.6741132507303913,0.7815338388615696,0.01961186561589277,0.15935417708402158,linuxpc-intel-slurm-parallel.peta4,64.0,2.230509726,64000.0,0.02
39,AcOH,20_1,DMCtm5,JoptLA,0.003,-28713.4894666649,0.0298326004889508,kcal/mol,1021.5,63986.67758908075,0.2546131598820277,0.7921877630079501,0.0029953979650237036,0.18734656544333753,linuxpc-intel-slurm-parallel.peta4,128.0,1.1263568466666667,64000.0,0.003
40,AcOH,20_1,DMCtm5,JoptLA,0.01,-28713.2335498821,0.0338692088108173,kcal/mol,1005.0,63955.54151758794,0.48552630979210093,0.7941494264130252,0.009921509729768269,0.1767658932094527,linuxpc-intel-slurm-parallel.peta4,128.0,1.116566787755102,64000.0,0.01
41,AcOH,20_1,DMCtm5,JoptLA,0.06,-28715.777525381,0.029889456766222,kcal/mol,1230.0,63763.989671961834,1.0122718765719652,0.8275573538173145,0.055599057832212674,0.2056499854707332,linuxpc-intel-slurm-parallel.peta4,64.0,2.3201950300000003,64000.0,0.06
42,AcOH,20_1,DMCtm5,Jopt,0.003,-28713.0502912808,0.03440107954708,kcal/mol,1021.5,63993.87239816589,0.2588544848283458,0.7666087453284457,0.0029953883397289692,0.20438464516203686,linuxpc-intel-slurm-parallel.peta4,128.0,1.1278827024999998,64000.0,0.003
43,AcOH,20_1,DMCtm5,Jopt,0.01,-28712.4481162259,0.0316121982888249,kcal/mol,1005.0,63978.6295879397,0.46217260634630103,0.7753627630806392,0.009921377764621915,0.17636620864694286,linuxpc-intel-slurm-parallel.peta4,64.0,2.2544844897959186,64000.0,0.01
44,AcOH,20_1,DMCtm5,Jopt,0.06,-28713.0497103355,0.0315091580261634,kcal/mol,1230.0,63854.12664142035,1.008269455358993,0.8179127765474337,0.05559605945557295,0.2185112119852639,linuxpc-intel-slurm-parallel.peta4,64.0,2.2634407900000006,64000.0,0.06
45,AcOH,20_1,DMCtm5,Jopt,0.03,-28711.8893219169,0.0316158191288691,kcal/mol,1215.0,63935.94146790818,0.7422518335024946,0.7858651558398942,0.02903054927475594,0.19891418590814722,linuxpc-intel-slurm-parallel.peta4,64.0,2.2779445200000006,64000.0,0.03
46,AcOH,20_1,DMCtm5,Jopt,0.006,-28712.7797363305,0.0279249801177196,kcal/mol,1203.0,63993.44991022617,0.3430948415283078,0.7629677801122613,0.005976246615801327,0.18168955183162003,linuxpc-intel-slurm-parallel.peta4,128.0,1.1307638157894737,64000.0,0.006
47,AcOH,20_1,DMCtm5,Jopt,0.02,-28711.9557447668,0.0318595828693402,kcal/mol,1010.0,63964.38028,0.6637361339083034,0.7767788808683174,0.019611343829179496,0.18674766073188426,linuxpc-intel-slurm-parallel.peta4,64.0,2.251031234,64000.0,0.02
48,AcOH,20_1,DMCtm5,Jopt,0.10,-28716.2710339932,0.0359550240723771,kcal/mol,1050.0,63697.822403846156,1.4865770409257983,0.8151880537434646,0.08720690681484317,0.2642250804666357,linuxpc-intel-slurm-parallel.peta4,64.0,2.2907161699999996,64000.0,0.1
49,AcOH,20_1,DMCdla5,Jopt,0.10,-28730.1749159471,0.0411558250461715,kcal/mol,1050.0,63871.46980769231,1.4678451103986876,0.7416166786763232,0.08739947781860428,0.3428882736147773,linuxpc-intel-slurm-parallel.peta4,160.0,0.44888082999999995,64000.0,0.1
50,AcOH,20_1,DMCdla5,Jopt,0.16,-28736.1593441212,0.0428328897505312,kcal/mol,1136.0,63752.39704419497,1.787706000896121,0.7413677726124654,0.1277303008085907,0.44855094319999145,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.6595121,64000.0,0.16
51,AcOH,20_1,DMCdla5,Jopt,0.05,-28726.2861055905,0.0350506325849168,kcal/mol,1275.0,63945.87007905138,0.9621913692667333,0.7483578727018013,0.04707621196124994,0.29784440616305086,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.65994574,64000.0,0.05
52,AcOH,20_1,DMCdla5,Jopt,0.02,-28724.9535851425,0.0338982837557966,kcal/mol,1010.0,63974.6521,0.6886790507112139,0.7471122260829771,0.019617662824949266,0.24186545030358464,linuxpc-intel-slurm-parallel.peta4-icelake-zen,152.0,0.361469372,64000.0,0.02
53,AcOH,20_1,DMCdla5,Jopt,0.03,-28725.2207169856,0.0314518387546802,kcal/mol,1215.0,63967.050888811435,0.7485748303373535,0.7357141048685049,0.02904776213380713,0.2476933766624997,linuxpc-intel-slurm-parallel.peta4,160.0,0.44446196999999993,64000.0,0.03
54,AcOH,20_1,DMCdla5,Jopt,0.04,-28725.6394322579,0.0315229863867997,kcal/mol,1220.0,63956.39761983471,0.862876517010439,0.740661270036635,0.038201311907264356,0.25124565651648034,linuxpc-intel-slurm-parallel.peta4-icelake-zen,152.0,0.36447658666666666,64000.0,0.04
55,AcOH,20_1,DMCdla5,Jopt,0.003,-28725.1556986579,0.0343661642199139,kcal/mol,1201.5,63999.786069301,0.2357207629951076,0.7691295257622756,0.00299543443344545,0.25343742718355194,linuxpc-intel-slurm-parallel.peta4-knl,640.0,1.1006733867469878,64000.0,0.003
56,AcOH,20_1,DMCdla5,Jopt,0.13,-28733.1274133772,0.0333145529089173,kcal/mol,1313.0,63807.71964481692,1.4529415555773495,0.7245249203037577,0.10857866752011963,0.35777637046233396,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.6526303799999998,64000.0,0.13
57,AcOH,20_1,DMCdla5,Jopt,0.25,-28745.3698118626,0.0433814317547018,kcal/mol,1275.0,63590.65138339921,2.038271831248081,0.7256004583918365,0.1747778968303458,0.5067296661957801,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.6460432999999999,64000.0,0.25
58,AcOH,20_1,DMCdla5,Jopt,0.08,-28728.5042626439,0.0363212787190442,kcal/mol,1208.0,63904.43572621035,1.1947587205443226,0.7500698452783762,0.07205796193413248,0.3034194785295117,linuxpc-intel-slurm-parallel.peta4-cclake,224.0,0.33840688,64000.0,0.08
59,AcOH,20_1,DMCdla5,Jopt,0.01,-28725.0168103268,0.039030077012659,kcal/mol,1005.0,63985.753216080404,0.49764873917390035,0.7681514311773234,0.009922438144577512,0.26450328995193867,linuxpc-intel-slurm-parallel.peta4,160.0,0.444667778,64000.0,0.01
60,AcOH,20_1,DMCdla5,Jopt,0.2,-28740.2396529756,0.0416616481943289,kcal/mol,1100.0,63693.70036697248,2.240611326059577,0.7344706861706007,0.15042699687187994,0.474485660392359,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.6619277,64000.0,0.2
61,AcOH,20_1,DMCdla5,Jopt,0.06,-28726.9127741466,0.0359751198265524,kcal/mol,1230.0,63940.70279840653,1.0530142696191827,0.75367907696019,0.05567434687531095,0.3047096307452321,linuxpc-intel-slurm-parallel.peta4-icelake-zen,152.0,0.36565778,64000.0,0.06
62,AcOH,20_1,DMCdla5,Jopt,0.3,-28750.4800399658,0.0438860420715174,kcal/mol,1650.0,63545.92151481888,2.450498572390844,0.7281174922977044,0.1952719766988684,0.6280537490679705,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.6516197,64000.0,0.3
63,AcOH,20_1,DMCdla5,Jdimer,0.06,-28726.4009523702,0.0266826642552191,kcal/mol,1830.0,63942.41809250651,0.8609547020350667,0.7666473329958333,0.05566639819062972,0.27930880062203756,linuxpc-intel-slurm-parallel.peta4,160.0,0.4510197633333334,64000.0,0.06
64,AcOH,20_1,DMCdla5,Jdimer,0.01,-28724.8436966356,0.0352175007038186,kcal/mol,1005.0,63976.69829145729,0.4840221184067794,0.7971740541861936,0.009922309791721448,0.2562967586645617,linuxpc-intel-slurm-parallel.peta4,96.0,0.7579028879999998,64000.0,0.01
65,AcOH,20_1,DMCdla5,Jdimer,0.003,-28725.1069214651,0.0380031673662873,kcal/mol,901.5,64007.340368682824,0.28422074469722164,0.7902486439384743,0.002995426989044207,0.21941616103100664,linuxpc-intel-slurm-parallel.peta4,320.0,0.24036315433333313,64000.0,0.003
66,AcOH,20_1,DMCdla5,Jdimer,0.04,-28725.3481818376,0.0325473273329553,kcal/mol,1220.0,63959.01054545455,0.8766888742986525,0.7628972087817739,0.03819815522363023,0.27634769725754854,linuxpc-intel-slurm-parallel.peta4,128.0,0.5524238266666667,64000.0,0.04
67,AcOH,20_1,DMCdla5,Jdimer,0.03,-28724.9305561885,0.0330214829173142,kcal/mol,1215.0,63972.46024000398,0.7649298147230603,0.7693732573862927,0.029046079677797192,0.26264389598795473,linuxpc-intel-slurm-parallel.peta4,64.0,1.09615681,64000.0,0.03
68,AcOH,20_1,DMCdla5,Jdimer,0.02,-28724.7433641238,0.037950164356567,kcal/mol,1010.0,63969.32954,0.7021543768169123,0.7785770433683177,0.01961702551677323,0.25349199387858845,linuxpc-intel-slurm-parallel.peta4,128.0,0.555462696,64000.0,0.02
69,AcOH,20_1,DMCdla5,Jdimer,0.10,-28729.7166533949,0.0373867211856846,kcal/mol,1050.0,63893.57644230769,1.4668544280262314,0.7525248541577608,0.08737425460402656,0.3559664890863066,linuxpc-intel-slurm-parallel.peta4,64.0,1.09896242,64000.0,0.1
70,AcOH,20_2,DMCdla5,Jopt,0.10,-28729.8305400663,0.0363822695804881,kcal/mol,1050.0,63876.46048076923,1.4181724425044138,0.7301877914695352,0.08740676395233794,0.3205896509713975,linuxpc-intel-slurm-parallel.peta4,160.0,0.44612855,64000.0,0.1
71,AcOH,20_2,DMCdla5,Jopt,0.03,-28725.1170114049,0.0310478265824981,kcal/mol,1215.0,63966.00677189663,0.7751167912442682,0.725770968398233,0.029048264211287214,0.25113500563449676,linuxpc-intel-slurm-parallel.peta4,160.0,0.4442590475,64000.0,0.03
72,AcOH,20_2,DMCdla5,Jopt,0.01,-28724.9471271158,0.0342773328369341,kcal/mol,1005.0,63988.21683417085,0.4678605217494878,0.7455767580146112,0.009922476431178816,0.24762539405141173,linuxpc-intel-slurm-parallel.peta4,160.0,0.443054104,64000.0,0.01
73,AcOH,22_1,DMCdla5,Jopt,0.10,-28730.1521381105,0.0388029006821959,kcal/mol,1050.0,63874.29076923077,1.389616108018844,0.7376918468084659,0.08740298705474189,0.34042227921616036,linuxpc-intel-slurm-parallel.peta4,160.0,0.44418667000000006,64000.0,0.1
74,AcOH,22_1,DMCdla5,Jopt,0.03,-28725.1865221446,0.032599671477281,kcal/mol,1215.0,63955.07140367475,0.7485068859696254,0.7397352267835533,0.029048052099507688,0.2583797894024677,linuxpc-intel-slurm-parallel.peta4,160.0,0.4412885275,64000.0,0.03
75,AcOH,22_1,DMCdla5,Jopt,0.003,-28725.0175084162,0.0316697178128795,kcal/mol,1201.5,63987.419391387986,0.2525126727479294,0.7495888710028538,0.0029954352990621373,0.22634261109289566,linuxpc-intel-slurm-parallel.peta4-knl,640.0,1.090875143373494,64000.0,0.003
76,AcOH,22_1,DMCdla5,Jopt,0.01,-28724.8698663988,0.0438804699110593,kcal/mol,1005.0,63980.94157788945,0.4885011970315696,0.7464716760189388,0.009922455438312976,0.2502789711762237,linuxpc-intel-slurm-parallel.peta4,160.0,0.4449373319999998,64000.0,0.01
77,AcOH,52_2,DMCdla5,Jopt,0.10,-28731.0692693599,0.0374771365698522,kcal/mol,1050.0,63887.85298076923,1.455696161987513,0.7255063904385423,0.08738430992589988,0.33645547486541827,linuxpc-intel-slurm-parallel.peta4-knl,320.0,1.9755377,64000.0,0.1
78,AcOH,52_2,DMCdla5,Jopt,0.03,-28726.4124592546,0.0330468015540504,kcal/mol,1215.0,63962.84954937011,0.7749436409583675,0.7471069726262457,0.029046720258800354,0.28195212119209656,linuxpc-intel-slurm-parallel.peta4-knl,320.0,1.9834197399999998,64000.0,0.03
79,AcOH,52_2,DMCdla5,Jopt,0.01,-28726.1948161996,0.0365886910491679,kcal/mol,1005.0,63982.456422110554,0.4617304290504974,0.7480766327507915,0.009922364603373044,0.25618270930780335,linuxpc-intel-slurm-parallel.peta4-knl,320.0,1.9774786119047618,64000.0,0.01
80,AcOH,52_2,DMCdla5,Jdimer,0.01,-28726.1794367414,0.033249997364763,kcal/mol,1005.0,63989.05812060302,0.4839023070693211,0.754659103728704,0.009922682716960346,0.22703521243407707,linuxpc-intel-slurm-parallel.peta4,160.0,0.43035522099999995,64000.0,0.01
81,AcOH,52_2,DMCdla5,Jdimer,0.03,-28726.4301707799,0.031427164053261,kcal/mol,1215.0,63959.043693671265,0.7626136347836489,0.7580645955360121,0.029050488725144062,0.26804359950731327,linuxpc-intel-slurm-parallel.peta4,160.0,0.433434545,64000.0,0.03
82,AcOH,52_2,DMCdla5,Jdimer,0.10,-28731.2803130235,0.0437633245031208,kcal/mol,1050.0,63850.67692307692,1.425513662836363,0.7182304925013746,0.08743286314665175,0.380209265595982,linuxpc-intel-slurm-parallel.peta4,160.0,0.43566946000000006,64000.0,0.1
83,AcOH,60_2,DMCdla5,Jopt,0.10,-28731.1772211583,0.0378893139669304,kcal/mol,1050.0,63877.33980769231,1.4143065038952585,0.7284286598484352,0.08739513767223432,0.35836206939336696,linuxpc-intel-slurm-parallel.peta4,160.0,0.44672512999999997,64000.0,0.1
84,AcOH,60_2,DMCdla5,Jopt,0.03,-28726.4408474511,0.0326278350394905,kcal/mol,1215.0,63966.45100333616,0.7477480570956497,0.7321495296421813,0.02904746030380274,0.24191221779450572,linuxpc-intel-slurm-parallel.peta4,160.0,0.444450925,64000.0,0.03
85,AcOH,60_2,DMCdla5,Jopt,0.01,-28726.1988200932,0.0392927236239365,kcal/mol,1005.0,63972.78928643216,0.4743851777991914,0.7557943439021486,0.009922422275783412,0.2436151337210193,linuxpc-intel-slurm-parallel.peta4,160.0,0.441006167,64000.0,0.01
86,AcOH,61_2,DMCdla5,Jopt,0.10,-28730.9788593889,0.0372334339845876,kcal/mol,1050.0,63878.93596153846,1.4011649820894887,0.7195959116322886,0.08739005006965883,0.3183483325220511,linuxpc-intel-slurm-parallel.peta4,160.0,0.44910268,64000.0,0.1
87,AcOH,61_2,DMCdla5,Jopt,0.03,-28726.4205336282,0.0317448324063494,kcal/mol,1215.0,63976.32993078723,0.740778066901654,0.7425727093934725,0.02904704151467298,0.2575843863500664,linuxpc-intel-slurm-parallel.peta4,160.0,0.44383414000000004,64000.0,0.03
88,AcOH,61_2,DMCdla5,Jopt,0.003,-28726.4328797793,0.0330569096627952,kcal/mol,1201.5,63985.90689787142,0.2367939467526719,0.757571970542051,0.0029954320125379764,0.2500308533306799,linuxpc-intel-slurm-parallel.peta4-knl,256.0,2.4279349700000004,64000.0,0.003
89,AcOH,61_2,DMCdla5,Jopt,0.01,-28726.2826684981,0.0329987628981489,kcal/mol,1005.0,63987.95047236181,0.49590475021595926,0.7372846253242318,0.0099223885308699,0.2397247715502578,linuxpc-intel-slurm-parallel.peta4,160.0,0.43981152700000004,64000.0,0.01
90,AcOH,63_2,DMCdla5,Jopt,0.10,-28731.2447590897,0.0362505760658755,kcal/mol,1050.0,63879.40442307692,1.3936990097493553,0.726861150084202,0.08739193429060686,0.3028400783808305,linuxpc-intel-slurm-parallel.peta4,160.0,0.44728555,64000.0,0.1
91,AcOH,63_2,DMCdla5,Jopt,0.03,-28726.5444152641,0.0309909613081509,kcal/mol,1215.0,63958.36984016332,0.75940927321121,0.7453550835434715,0.029047326168834892,0.2567188946466874,linuxpc-intel-slurm-parallel.peta4,160.0,0.4455767825000001,64000.0,0.03
92,AcOH,63_2,DMCdla5,Jopt,0.003,-28726.3566460183,0.0302359315387968,kcal/mol,1201.5,63999.12681850914,0.2451726061985381,0.7556843362634851,0.0029954330650990182,0.23936794134264247,linuxpc-intel-slurm-parallel.peta4-cclake,112.0,0.6714520815789476,64000.0,0.003
93,AcOH,63_2,DMCdla5,Jopt,0.01,-28726.1939523347,0.0167977423835633,kcal/mol,4005.0,63980.880713391736,0.24591192527838163,0.7594183215050113,0.009922405677220292,0.2446942100014012,linuxpc-intel-slurm-parallel.peta4-knl,640.0,1.091128703488372,64000.0,0.01
94,Benzene,24_1,DMCdla5,Jopt,0.10,-23624.4548716154,0.0408572713312762,kcal/mol,1050.0,63974.98682692308,1.3417303202758615,0.48202214919735376,0.09181531467464757,0.4780229166976,linuxpc-intel-slurm-parallel.peta4-knl,320.0,2.61827771,64000.0,0.1
