,name,Hobza_1,Hobza_2,Martin_newBronze,Martin_Silver,Martin_Gold,Martin_PCCP2022,14k-Gold
51,51 Ethyne-Ethyne TS,-1.52,-1.54,-1.506,-1.519,-1.526,-1.489,-1.528
52,52 Benzene-AcOH OH-pi,-4.71,-4.73,-4.661,-4.691,,-4.655,-4.691
53,53 Benzene-AcNH2 NH-pi,-4.36,-4.4,-4.346,-4.376,,-4.334,-4.375
54,54 Benzene-Water OH-pi,-3.28,-3.29,-3.212,-3.267,,-3.224,-3.263
55,55 Benzene-MeOH OH-pi,-4.19,-4.17,-4.106,-4.139,,-4.106,-4.137
56,56 Benzene-MeNH2 NH-pi,-3.23,-3.2,-3.153,-3.174,,-3.139,-3.171
57,57 Benzene-Peptide NH-pi,-5.28,-5.26,-5.22,-5.222,,-5.176,-5.219
58,58 Pyridine-Pyridine CH-N,-4.15,-4.24,-4.194,-4.189,,-4.166,-4.193
59,59 Ethyne-Water CH-O,-2.85,-2.93,-2.883,-2.905,-2.912,-2.899,-2.913
60,60 Ethyne-AcOH OH-pi,-4.87,-4.97,-4.863,-4.917,-4.925,-4.854,-4.933
61,61 Pentane-AcOH,-2.91,-2.91,-2.839,-2.876,,-2.82,-2.879
62,62 Pentane-AcNH2,-3.53,-3.53,-3.458,-3.491,,-3.437,-3.495
63,63 Benzene-AcOH,-3.8,-3.75,-3.715,-3.709,,-3.671,-3.716
64,64 Peptide-Ethene,-3.0,-3.0,-2.945,-2.967,,-2.928,-2.977
65,65 Pyridine-Ethyne,-3.99,-4.1,-4.065,-4.064,,-4.066,-4.071
66,66 MeNH2-Pyridine,-3.97,-3.97,-3.907,-3.93,,-3.893,-3.931
