,ene,err,tau,i,dmc_type,Jas,delta
67,-4.2945616859869915,0.05499274106634147,0.03,10,DMCdla5,Jopt,-0.06891419921157649
68,-4.305486609086074,0.05743536205677872,0.01,10,DMCdla5,Jopt,-0.06891419921157649
69,-4.117437599390541,0.049455293445485084,0.003,10,DMCdla5,Jopt,-0.06891419921157649
70,-4.502927878787887,0.0571703051364364,0.1,10,DMCdla5,Jdimer,-0.06891419921157649
71,-4.289412615387846,0.05433023389616031,0.03,10,DMCdla5,Jdimer,-0.06891419921157649
72,-4.181240845286084,0.057644935461241435,0.01,10,DMCdla5,Jdimer,-0.06891419921157649
73,-4.166377183388249,0.05144399228190247,0.003,10,DMCdla5,Jdimer,-0.06891419921157649
74,-5.5662437536266225,0.06507307118069129,0.01,11,DMCdla5,Jopt,-0.005422190675744787
75,-5.561105333523301,0.05697393839966904,0.03,11,DMCdla5,Jopt,-0.005422190675744787
76,-5.563750037425052,0.062036864816471575,0.1,11,DMCdla5,Jopt,-0.005422190675744787
77,-7.47990903959726,0.04242754640766963,0.003,12,DMCdla5,Jopt,0.02978405339672463
78,-7.575600899894198,0.041701689379950765,0.01,12,DMCdla5,Jopt,0.02978405339672463
79,-7.686303911497816,0.03839776895731705,0.03,12,DMCdla5,Jopt,0.02978405339672463
80,-8.112336410196804,0.04409926236552802,0.1,12,DMCdla5,Jopt,0.02978405339672463
81,-8.259201689494148,0.042531947972111746,0.1,12,DMCdla5,Jdimer,0.02978405339672463
82,-7.71687329229826,0.03889004923687531,0.03,12,DMCdla5,Jdimer,0.02978405339672463
83,-7.527413269794124,0.04197958745622883,0.01,12,DMCdla5,Jdimer,0.02978405339672463
84,-7.463201782396936,0.04342361401419327,0.003,12,DMCdla5,Jdimer,0.02978405339672463
85,-6.367286186006822,0.06893943509268347,0.01,13,DMCdla5,Jopt,-0.07857410589349456
86,-6.307120004008539,0.060860377121052335,0.03,13,DMCdla5,Jopt,-0.07857410589349456
87,-6.400325353206426,0.0704972562321167,0.1,13,DMCdla5,Jopt,-0.07857410589349456
88,-7.675424635828676,0.05988175951185548,0.01,14,DMCdla5,Jopt,-0.03190294277010253
89,-7.747632164528113,0.058684017523118887,0.03,14,DMCdla5,Jopt,-0.03190294277010253
90,-7.756629909028561,0.06918376956908595,0.1,14,DMCdla5,Jopt,-0.03190294277010253
91,-7.641530237331608,0.06176121038271418,0.01,14,DMCdla5,Jdimer,-0.03190294277010253
92,-7.7293237695266725,0.05942051142118614,0.03,14,DMCdla5,Jdimer,-0.03190294277010253
93,-8.008577723727285,0.06513227925924707,0.1,14,DMCdla5,Jdimer,-0.03190294277010253
94,-8.037945043000946,0.0905376104771624,0.1,15,DMCdla5,Jopt,0.0
95,-8.521738262195868,0.0674979310765668,0.03,15,DMCdla5,Jopt,0.0
96,-8.760694622204028,0.08286497835534151,0.01,15,DMCdla5,Jopt,0.0
97,-8.829642125198006,0.07146963207048389,0.003,15,DMCdla5,Jopt,0.0
98,-5.339074784365948,0.06244266097432684,0.01,16,DMCdla5,Jopt,-0.00690058773761848
99,-5.295439839164828,0.05646442174666547,0.03,16,DMCdla5,Jopt,-0.00690058773761848
100,-5.064929813162962,0.06353141162023115,0.1,16,DMCdla5,Jopt,-0.00690058773761848
101,-17.059502468604478,0.10663509772283859,0.1,17,DMCdla5,Jopt,0.0
102,-17.72674058220582,0.09305550644392306,0.03,17,DMCdla5,Jopt,0.0
103,-17.78276428040408,0.10357163021267232,0.01,17,DMCdla5,Jopt,0.0
104,-17.929088830605906,0.09210322192592497,0.003,17,DMCdla5,Jopt,0.0
105,-7.208585503343784,0.05263356095300511,0.003,18,DMCdla5,Jopt,0.05094282704521902
106,-7.32547419434195,0.061517217210969435,0.01,18,DMCdla5,Jopt,0.05094282704521902
107,-7.325934474440146,0.046092668183609756,0.03,18,DMCdla5,Jopt,0.05094282704521902
108,-8.006504657751066,0.06031506816447726,0.1,18,DMCdla5,Jopt,0.05094282704521902
109,-7.147499609443912,0.06179323315208432,0.003,18,DMCdla5,Jdimer,0.05094282704521902
110,-7.311554987740237,0.0615255864103931,0.01,18,DMCdla5,Jdimer,0.05094282704521902
111,-7.323770588140178,0.04820015216520695,0.03,18,DMCdla5,Jdimer,0.05094282704521902
112,-7.899006643947359,0.05955340134475432,0.1,18,DMCdla5,Jdimer,0.05094282704521902
113,-7.812367552025535,0.0644537003468632,0.003,19,DMCdla5,Jopt,0.160774802629021
114,-7.917378545924294,0.07106573628279485,0.01,19,DMCdla5,Jopt,0.160774802629021
115,-7.915903177334258,0.05135622344521033,0.03,19,DMCdla5,Jopt,0.160774802629021
116,-8.329909613028576,0.0631355287723362,0.1,19,DMCdla5,Jopt,0.160774802629021
117,-7.830597871226928,0.07103035327339198,0.003,19,DMCdla5,Jdimer,0.160774802629021
118,-7.901182623623754,0.07072096361422922,0.01,19,DMCdla5,Jdimer,0.160774802629021
119,-7.900661292129371,0.053575364509107846,0.03,19,DMCdla5,Jdimer,0.160774802629021
120,-8.38218444582526,0.06202215717955712,0.1,19,DMCdla5,Jdimer,0.160774802629021
121,-20.301314740001544,0.0767408047878879,0.01,20,DMCdla5,Jopt,0.0
122,-20.496603794897965,0.06559533830797742,0.03,20,DMCdla5,Jopt,0.0
123,-20.61737541329785,0.07696480227405415,0.1,20,DMCdla5,Jopt,0.0
124,-16.93994733699583,0.06900363179427142,0.01,21,DMCdla5,Jopt,0.0
125,-17.088754102402163,0.06369067497543791,0.03,21,DMCdla5,Jopt,0.0
126,-18.1377268105025,0.07271908117394522,0.1,21,DMCdla5,Jopt,0.0
127,-21.12827090279461,0.0880403221539647,0.1,22,DMCdla5,Jopt,0.0
128,-20.567356838400883,0.08025852638008325,0.03,22,DMCdla5,Jopt,0.0
129,-20.614155090093846,0.0957025902283054,0.01,22,DMCdla5,Jopt,0.0
130,-20.578794936300255,0.07975498489501877,0.003,22,DMCdla5,Jopt,0.0
131,-20.006667791902146,0.08277885180290581,0.01,23,DMCdla5,Jopt,0.0
132,-20.01381837180088,0.07619248998658536,0.03,23,DMCdla5,Jopt,0.0
133,-20.901955716894008,0.09823034131092341,0.1,23,DMCdla5,Jopt,0.0
134,-2.3347818738693604,0.10067550002520828,0.003,24,DMCdla5,Jopt,0.00013478766777552664
135,-2.3571654164697975,0.08682480903607903,0.01,24,DMCdla5,Jopt,0.00013478766777552664
136,-2.2557843058675644,0.049013637314346784,0.03,24,DMCdla5,Jopt,0.00013478766777552664
137,-2.1847547241704888,0.09632179999092885,0.1,24,DMCdla5,Jopt,0.00013478766777552664
138,-2.36330993406591,0.08303178760584047,0.003,24,DMCdla5,Jdimer,0.00013478766777552664
139,-2.3841661696715164,0.05844681423283717,0.01,24,DMCdla5,Jdimer,0.00013478766777552664
140,-2.345706564068678,0.04942993860661146,0.03,24,DMCdla5,Jdimer,0.00013478766777552664
141,-2.550127077571233,0.08952629992969229,0.1,24,DMCdla5,Jdimer,0.00013478766777552664
142,-3.1250024948676582,0.060203018131798486,0.3,24,DMCdla5,Jdimer,0.00013478766777552664
143,-3.002474665772752,0.05567165682851642,0.7,24,DMCdla5,Jdimer,0.00013478766777552664
144,-4.350848252877768,0.0865184726550039,0.1,25,DMCdla,Jdimer,0.0027361640823073685
145,-3.8069759306818014,0.07457025955400791,0.03,25,DMCdla,Jdimer,0.0027361640823073685
146,-3.334722434381547,0.08556763651047386,0.01,25,DMCdla,Jdimer,0.0027361640823073685
147,-3.56401267307956,0.0844636886743902,0.003,25,DMCdla5,Jopt,0.0027361640823073685
148,-3.5703157873795135,0.10200459484147577,0.01,25,DMCdla5,Jopt,0.0027361640823073685
149,-3.527727207780117,0.04738719120689251,0.03,25,DMCdla5,Jopt,0.0027361640823073685
150,-4.1994474371822434,0.09465780119623077,0.1,25,DMCdla5,Jopt,0.0027361640823073685
151,-4.5168009299814,0.06461260438328788,0.3,25,DMCdla5,Jdimer,0.0027361640823073685
152,-3.7495189151813975,0.09326821277651404,0.1,25,DMCdla5,Jdimer,0.0027361640823073685
153,-3.4571116029765108,0.05306422518581679,0.03,25,DMCdla5,Jdimer,0.0027361640823073685
154,-3.5146068705798825,0.10168655149105318,0.01,25,DMCdla5,Jdimer,0.0027361640823073685
155,-3.5241949836781714,0.10575994731592665,0.003,25,DMCdla5,Jdimer,0.0027361640823073685
156,-4.891232199086517,0.0899455531164017,0.1,25,DMC,Jdimer,0.0027361640823073685
157,-3.9544206115824636,0.1310260413050311,0.03,25,DMC,Jdimer,0.0027361640823073685
158,-3.6310077883827034,0.10191224218981729,0.01,25,DMC,Jdimer,0.0027361640823073685
159,-9.331426542499685,0.07732061949872952,0.01,26,DMCdla5,Jopt,0.0
160,-9.510025740601122,0.0643056396966056,0.03,26,DMCdla5,Jopt,0.0
161,-9.764514109097945,0.10189154412860692,0.1,26,DMCdla5,Jopt,0.0
162,-3.067858319624065,0.08249053702123596,0.01,27,DMCdla5,Jopt,0.0011303839273750782
163,-2.9918551336268138,0.03516691760623186,0.03,27,DMCdla5,Jopt,0.0011303839273750782
164,-3.325376489530754,0.07846724639269373,0.1,27,DMCdla5,Jopt,0.0011303839273750782
165,-3.053504237825109,0.07588058843899535,0.01,27,DMCdla5,Jdimer,0.0011303839273750782
166,-3.0015084603255673,0.03727632179969456,0.03,27,DMCdla5,Jdimer,0.0011303839273750782
167,-3.283098405230703,0.07600059940328678,0.1,27,DMCdla5,Jdimer,0.0011303839273750782
168,-5.088699189233012,0.08462422577265971,0.003,28,DMCdla5,Jopt,0.023272894031833857
169,-5.099089668132365,0.09384523734306045,0.01,28,DMCdla5,Jopt,0.023272894031833857
170,-5.136809033239842,0.08177969390746491,0.03,28,DMCdla5,Jopt,0.023272894031833857
171,-5.525807147940213,0.1020205383393489,0.1,28,DMCdla5,Jopt,0.023272894031833857
172,-5.096053008135641,0.08300864935072501,0.003,28,DMCdla5,Jdimer,0.023272894031833857
173,-5.135219547824818,0.09025317606042335,0.01,28,DMCdla5,Jdimer,0.023272894031833857
174,-5.123009859540616,0.08227715979055947,0.03,28,DMCdla5,Jdimer,0.023272894031833857
175,-5.505514452233911,0.07719191377528739,0.06,28,DMCdla5,Jdimer,0.023272894031833857
176,-5.821285307836661,0.09682493238859072,0.1,28,DMCdla5,Jdimer,0.023272894031833857
177,-6.400998560922744,0.09258291086690786,0.01,29,DMCdla5,Jopt,0.024377989524509758
178,-6.130881066113943,0.0821526229360316,0.03,29,DMCdla5,Jopt,0.024377989524509758
179,-5.655928315019992,0.09506093334175211,0.1,29,DMCdla5,Jopt,0.024377989524509758
180,-6.32079856160999,0.10078069086674632,0.003,29,DMCdla5,Jdimer,0.024377989524509758
181,-6.406936404920998,0.09392011307112981,0.01,29,DMCdla5,Jdimer,0.024377989524509758
182,-6.236227595814853,0.08105112905123259,0.03,29,DMCdla5,Jdimer,0.024377989524509758
183,-5.670571851915156,0.09422435760428384,0.1,29,DMCdla5,Jdimer,0.024377989524509758
184,-1.1034070607911417,0.05729139811637657,0.003,30,DMCdla5,Jopt,-0.0074723684519995
185,-1.1352132308875298,0.06099997681505283,0.01,30,DMCdla5,Jopt,-0.0074723684519995
186,-1.1500971132663835,0.04669558522935385,0.03,30,DMCdla5,Jopt,-0.0074723684519995
187,-0.9664341516399872,0.06226985457061834,0.1,30,DMCdla5,Jopt,-0.0074723684519995
188,-1.1452968499088456,0.048938593924180075,0.003,30,DMCdla5,Jdimer,-0.0074723684519995
189,-1.1520441717475478,0.05282727570657245,0.01,30,DMCdla5,Jdimer,-0.0074723684519995
190,-1.22694612021769,0.04798563411321846,0.03,30,DMCdla5,Jdimer,-0.0074723684519995
191,-1.3697440476498741,0.0599882633862994,0.1,30,DMCdla5,Jdimer,-0.0074723684519995
192,-3.197147600867538,0.07040918589056866,0.01,31,DMCdla5,Jopt,0.007387467325315811
193,-3.2639845991398033,0.07267328788584665,0.03,31,DMCdla5,Jopt,0.007387467325315811
194,-3.9117691473220475,0.07534566574018298,0.1,31,DMCdla5,Jopt,0.007387467325315811
195,-3.4839560210557465,0.08530125012886418,0.1,32,DMCdla5,Jopt,0.0
196,-3.5385515074094656,0.06854608918922901,0.03,32,DMCdla5,Jopt,0.0
197,-3.5002673846311154,0.08103514522945615,0.01,32,DMCdla5,Jopt,0.0
198,-1.6681229099103803,0.06650594605148095,0.01,33,DMCdla5,Jopt,-0.013611606831545942
199,-1.5897240894919378,0.046305997110936005,0.03,33,DMCdla5,Jopt,-0.013611606831545942
200,-1.3560800352570368,0.06299943553844073,0.1,33,DMCdla5,Jopt,-0.013611606831545942
201,-1.6435990157697233,0.06713567186103028,0.01,33,DMCdla5,Jdimer,-0.013611606831545942
202,-1.5863041649408842,0.048976624514447675,0.03,33,DMCdla5,Jdimer,-0.013611606831545942
203,-1.3517394935661287,0.06277287291834767,0.1,33,DMCdla5,Jdimer,-0.013611606831545942
204,-3.5118247834252543,0.08846055874984735,0.01,34,DMCdla5,Jopt,-0.0005057046801084653
205,-3.586106532624399,0.06976466170250616,0.03,34,DMCdla5,Jopt,-0.0005057046801084653
206,-3.2938293377228547,0.08003158972661008,0.1,34,DMCdla5,Jopt,-0.0005057046801084653
207,-3.60611081442039,0.08631493415018043,0.01,34,DMCdla5,Jdimer,-0.0005057046801084653
208,-3.4354548168194015,0.07775915295363102,0.03,34,DMCdla5,Jdimer,-0.0005057046801084653
209,-3.5992142615214107,0.08705316232639616,0.1,34,DMCdla5,Jdimer,-0.0005057046801084653
210,-2.4363137002292206,0.07618666559692269,0.01,35,DMCdla5,Jopt,0.03511946042999625
211,-2.6045021756362985,0.06672866149017774,0.03,35,DMCdla5,Jopt,0.03511946042999625
212,-2.5553729394305265,0.0675923035631067,0.1,35,DMCdla5,Jopt,0.03511946042999625
213,-2.476569863527402,0.07647303335583722,0.01,35,DMCdla5,Jdimer,0.03511946042999625
214,-2.6398450848319044,0.0689377303157626,0.03,35,DMCdla5,Jdimer,0.03511946042999625
215,-3.0358401755293016,0.07208808685133156,0.1,35,DMCdla5,Jdimer,0.03511946042999625
216,-1.694694248290034,0.09153078530146277,0.01,36,DMCdla5,Jopt,-0.00010667550668586046
217,-1.6828668522939552,0.0742436271032914,0.03,36,DMCdla5,Jopt,-0.00010667550668586046
218,-1.9411885000954499,0.08673088564841962,0.1,36,DMCdla5,Jopt,-0.00010667550668586046
219,-2.5967380484944442,0.09413256539675109,0.1,36,DMCdla5,Jdimer,-0.00010667550668586046
220,-1.9042043864901643,0.07437421533787004,0.03,36,DMCdla5,Jdimer,-0.00010667550668586046
221,-1.6809205438912613,0.09448679547085059,0.01,36,DMCdla5,Jdimer,-0.00010667550668586046
222,-2.137502608289651,0.07485684891569884,0.01,37,DMCdla5,Jopt,-0.0182935322081903
223,-2.126019700390316,0.06844162640931138,0.03,37,DMCdla5,Jopt,-0.0182935322081903
224,-1.9816218326923263,0.07076959155700928,0.1,37,DMCdla5,Jopt,-0.0182935322081903
225,-2.428871180392889,0.07607423492859741,0.1,37,DMCdla5,Jdimer,-0.0182935322081903
226,-2.283287934587861,0.0684751923721642,0.03,37,DMCdla5,Jdimer,-0.0182935322081903
227,-2.1794328914875223,0.07626642478684044,0.01,37,DMCdla5,Jdimer,-0.0182935322081903
228,-2.4508970678980404,0.07616459436433966,0.1,38,DMCdla5,Jopt,0.0
229,-2.7160551843953726,0.06280869588234447,0.03,38,DMCdla5,Jopt,0.0
230,-2.9302700266016473,0.06930875723137868,0.01,38,DMCdla5,Jopt,0.0
231,-3.297590750084055,0.07591607305333545,0.01,39,DMCdla5,Jopt,0.002925418986706063
232,-3.188021609588759,0.06380997797169309,0.03,39,DMCdla5,Jopt,0.002925418986706063
233,-2.959125309385854,0.07584979409940912,0.1,39,DMCdla5,Jopt,0.002925418986706063
234,-2.760788481031341,0.07289274895758283,0.01,40,DMCdla5,Jopt,0.026473284829990007
235,-2.61018326343401,0.05755584765584802,0.03,40,DMCdla5,Jopt,0.026473284829990007
236,-2.703812831434334,0.07661468079112464,0.1,40,DMCdla5,Jopt,0.026473284829990007
237,-2.767402005432814,0.066484516792703,0.01,40,DMCdla5,Jdimer,0.026473284829990007
238,-2.765813159632671,0.057686853630344315,0.03,40,DMCdla5,Jdimer,0.026473284829990007
239,-3.214273782334203,0.07673819097966604,0.1,40,DMCdla5,Jdimer,0.026473284829990007
240,-4.46055339691884,0.08150842241019193,0.003,41,DMCdla5,Jopt,0.05979796111932956
241,-4.583716093227849,0.09040853022083266,0.01,41,DMCdla5,Jopt,0.05979796111932956
242,-4.775362169926666,0.07819133012912015,0.03,41,DMCdla5,Jopt,0.05979796111932956
243,-5.534817994921468,0.09498087568241079,0.1,41,DMCdla5,Jopt,0.05979796111932956
244,-4.6608700718970795,0.08188188533563011,0.1,42,DMCdla5,Jopt,0.0
245,-3.6943790491968684,0.08503188503944832,0.03,42,DMCdla5,Jopt,0.0
246,-3.600662430508237,0.08522724127499565,0.01,42,DMCdla5,Jopt,0.0
247,-3.3377380282981903,0.08970731737036541,0.1,43,DMCdla5,Jopt,0.012221938697621226
248,-3.1934481520984264,0.08032334376884037,0.03,43,DMCdla5,Jopt,0.012221938697621226
249,-3.493840561597608,0.08624237894710665,0.01,43,DMCdla5,Jopt,0.012221938697621226
250,-3.4000926001936023,0.08311187519121517,0.003,43,DMCdla5,Jopt,0.012221938697621226
251,-1.8339741085874266,0.06348921099497572,0.01,44,DMCdla5,Jopt,0.005688879442459438
252,-1.9428451090643648,0.054843795812684705,0.03,44,DMCdla5,Jopt,0.005688879442459438
253,-1.5730385369352007,0.056527909171578426,0.1,44,DMCdla5,Jopt,0.005688879442459438
254,-1.884447688342334,0.06354118737642092,0.01,44,DMCdla5,Jdimer,0.005688879442459438
255,-1.8994071290144348,0.058434444079770095,0.03,44,DMCdla5,Jdimer,0.005688879442459438
256,-1.9463547181439935,0.05937586710087249,0.1,44,DMCdla5,Jdimer,0.005688879442459438
257,-1.5707498769043013,0.056643028620127836,0.01,45,DMCdla5,Jopt,0.029184976272517815
258,-1.66517665088395,0.050575714555912345,0.03,45,DMCdla5,Jopt,0.029184976272517815
259,-1.2997142812237144,0.0548031934470229,0.1,45,DMCdla5,Jopt,0.029184976272517815
260,-1.6728691416101356,0.055227322933251874,0.01,45,DMCdla5,Jdimer,0.029184976272517815
261,-1.619734183721448,0.05408724149690307,0.03,45,DMCdla5,Jdimer,0.029184976272517815
262,-1.5148364920314634,0.058252065871983776,0.1,45,DMCdla5,Jdimer,0.029184976272517815
263,-4.093950995586056,0.08064615677276736,0.01,46,DMCdla5,Jopt,0.07056101808848325
264,-4.132654958993953,0.06366041567965952,0.03,46,DMCdla5,Jopt,0.07056101808848325
265,-4.651284931693226,0.07036580813013704,0.1,46,DMCdla5,Jopt,0.07056101808848325
266,-2.5986018876938033,0.10144655657290873,0.003,47,DMCdla5,Jopt,0.017853966390248388
267,-2.6990513348937384,0.08801657184349479,0.01,47,DMCdla5,Jopt,0.017853966390248388
268,-2.6267130953856395,0.04451363776088876,0.03,47,DMCdla5,Jopt,0.017853966390248388
269,-2.6171560894945287,0.09536380967627299,0.1,47,DMCdla5,Jopt,0.017853966390248388
270,-2.627129947890353,0.08396502419576894,0.003,47,DMCdla5,Jdimer,0.017853966390248388
271,-2.7260520880954573,0.060202986212456816,0.01,47,DMCdla5,Jdimer,0.017853966390248388
272,-2.716635353586753,0.04497161476507903,0.03,47,DMCdla5,Jdimer,0.017853966390248388
273,-2.9825284428952727,0.0884947762389461,0.1,47,DMCdla5,Jdimer,0.017853966390248388
274,-3.5421812353888527,0.061692234113589345,0.3,47,DMCdla5,Jdimer,0.017853966390248388
275,-3.4489751470900956,0.08699789939335188,0.7,47,DMCdla5,Jdimer,0.017853966390248388
276,-3.4959023309274926,0.10215075332587897,0.01,48,DMCdla5,Jopt,0.002819182729581371
277,-3.582403129134036,0.06415284810086848,0.03,48,DMCdla5,Jopt,0.002819182729581371
278,-4.0707365615307936,0.09111852986868778,0.1,48,DMCdla5,Jopt,0.002819182729581371
279,-3.4401934141278616,0.10183316645579453,0.01,48,DMCdla5,Jdimer,0.002819182729581371
280,-3.5117875243304297,0.0684532981202921,0.03,48,DMCdla5,Jdimer,0.002819182729581371
281,-3.6208080395299476,0.08967411372659832,0.1,48,DMCdla5,Jdimer,0.002819182729581371
282,-3.156945186550729,0.07130619790940583,0.003,49,DMCdla5,Jopt,0.020863094250671566
283,-3.1391781277525297,0.07849388211214436,0.01,49,DMCdla5,Jopt,0.020863094250671566
284,-3.1198092961531074,0.06142922036274909,0.03,49,DMCdla5,Jopt,0.020863094250671566
285,-3.5340628451485827,0.08111079288377543,0.1,49,DMCdla5,Jopt,0.020863094250671566
286,-3.1513003719483095,0.07271187771035138,0.003,49,DMCdla5,Jdimer,0.020863094250671566
287,-3.1248240459535737,0.07151548456685106,0.01,49,DMCdla5,Jdimer,0.020863094250671566
288,-3.129462622851861,0.06266068294685329,0.03,49,DMCdla5,Jdimer,0.020863094250671566
289,-3.4917847608485317,0.07872701617260673,0.1,49,DMCdla5,Jdimer,0.020863094250671566
290,-2.883533245802937,0.06074781309934123,0.01,50,DMCdla5,Jopt,-0.0032589368274784647
291,-2.774836432182383,0.04338368869575792,0.03,50,DMCdla5,Jopt,-0.0032589368274784647
292,-2.6770045495240993,0.06526923989007652,0.1,50,DMCdla5,Jopt,-0.0032589368274784647
